method,z,significance,profit-min,profit-max,profit-mean,profit-median,profit-var,profit-std,profit-skew,profit-kurt,excessProfit-min,excessProfit-max,excessProfit-mean,excessProfit-median,excessProfit-var,excessProfit-std,excessProfit-skew,excessProfit-kurt,success-min,success-max,success-mean,success-median,success-var,success-std,success-skew,success-kurt,frequency-min,frequency-max,frequency-mean,frequency-median,frequency-var,frequency-std,frequency-skew,frequency-kurt,fee-min,fee-max,fee-mean,fee-median,fee-var,fee-std,fee-skew,fee-kurt,frequencyBuy-min,frequencyBuy-max,frequencyBuy-mean,frequencyBuy-median,frequencyBuy-var,frequencyBuy-std,frequencyBuy-skew,frequencyBuy-kurt,frequencySell-min,frequencySell-max,frequencySell-mean,frequencySell-median,frequencySell-var,frequencySell-std,frequencySell-skew,frequencySell-kurt
DMI-ROC,56.16080959,***,-0.275180754,3.165468878,0.265679166,0.2284591,0.068147136,0.261050063,2.032837583,10.98367248,-3.049172353,3.170290539,0.179185438,0.162231098,0.101797873,0.319057789,0.276603312,9.155592675,0,0.789432135,0.337018733,0.354136559,0.00992371,0.099617821,-1.156155672,2.449643137,1,704,154.6886,135,11726.52948,108.2891014,1.069756721,1.296509348,10.636423,690476.0958,4813.113265,1991.482334,274754514.2,16575.72062,16.01352207,421.1126092,1,358,85.4971,77,3073.035695,55.43496816,0.960346741,1.040701549,0,346,69.1915,58,2884.7211,53.7095997,1.149814949,1.484766302
BOLL-ROC,55.43250895,***,-0.218739161,1.745355802,0.255796894,0.224078414,0.057978183,0.240786593,0.933264325,1.494631212,-2.92466588,1.746478792,0.169303165,0.161492234,0.093282695,0.305422158,-0.543983144,5.792845019,0,0.736803326,0.399102161,0.4199965,0.010057515,0.100287161,-1.583755522,4.093912993,1,1433,240.852,203,32709.91669,180.8588308,1.337818538,2.473767444,13.7488657,1039927.661,7035.333683,2717.515556,600999190.9,24515.28484,16.50770101,446.7173272,1,740,124.9716,108,7854.336227,88.6246931,1.317833052,2.640434381,0,693,115.8804,95,8647.876283,92.99395832,1.344793096,2.324467553
DMI,54.55846178,***,-0.228423307,2.822478124,0.248639207,0.219007793,0.054272175,0.232963891,1.407931255,5.60362003,-2.806637353,2.986771835,0.162145478,0.157413525,0.088325367,0.297195839,-0.314574179,7.873066782,0,0.714234698,0.345790384,0.365379345,0.0088274,0.093954243,-1.609049973,3.944441486,1,1316,213.7644,183,25571.34863,159.9104394,1.406053134,3.226250429,10.2193196,862971.0562,6370.363199,2456.126398,502528857,22417.15542,15.89301748,387.6813077,1,646,113.2092,99,6211.134949,78.81075402,1.298038824,2.847460377,0,670,100.5552,84,6680.157369,81.73222968,1.489473622,3.531125526
MACD-DMI,43.75003028,***,-0.223934737,2.494469341,0.215279809,0.169057091,0.052037387,0.228117046,1.643692243,5.658503917,-2.844928502,2.257354955,0.12878608,0.114662451,0.086652508,0.29436798,-0.251045411,7.519402622,0,0.785658167,0.316890019,0.335997312,0.014332339,0.119717748,-0.725966303,0.801600463,0,476,97.4375,85,4587.981892,67.73464322,1.071414114,1.304720335,0,433624.4138,3263.514076,1383.86726,132438625.8,11508.1982,18.17572534,506.631416,0,245,56.4124,51,1249.457072,35.34766006,0.887652324,0.848915912,0,231,41.0251,34,1114.534323,33.38464203,1.205970606,1.649473002
DMI-MTM,41.22935963,***,-0.229500357,3.500008338,0.214382061,0.170931834,0.061280614,0.247549216,1.934222731,8.954676612,-3.059228163,3.566008771,0.127888332,0.10963918,0.096216304,0.31018753,0.067965951,8.752103503,0,0.733284448,0.332366799,0.34999125,0.011037293,0.105058524,-1.038174569,1.915619097,1,685,135.4957,117.5,8977.58474,94.75011736,1.104385344,1.515170106,10.4816392,491906.5826,4032.815052,1707.849909,178598109.2,13364.06035,16.3012333,408.827765,1,370,75.0249,67,2348.374317,48.46002804,1.001629873,1.343941064,0,320,60.4708,51,2228.179765,47.20359907,1.168883899,1.600043813
BOLL-MTM,39.33022195,***,-0.28170924,1.87298337,0.201965215,0.164210328,0.052192304,0.228456351,1.304111084,3.432578966,-3.013817943,1.936477825,0.115471486,0.102963694,0.086197906,0.293594799,-0.472490502,7.098610612,0,0.769201185,0.39707335,0.418178017,0.011246471,0.106049382,-1.464202083,3.418675965,1,1149,203.671,171,23515.01786,153.3460722,1.342697845,2.392606445,13.3063334,689351.823,5840.656717,2224.470347,403099187.5,20077.33019,15.19115753,344.1959553,1,604,107.2195,93,5702.864006,75.51730931,1.296435859,2.435890871,0,545,96.4515,78,6179.515599,78.60989505,1.369648674,2.348649897
DMI-KDJ,34.96028226,***,-0.247056137,2.960981154,0.195057951,0.150139369,0.060896047,0.246771245,2.152636659,9.998769278,-2.967926137,2.952583784,0.108564222,0.089634287,0.096432535,0.310535884,0.158152163,8.706379317,0,0.823480972,0.386258476,0.41463145,0.015307773,0.123724586,-1.176887576,1.827603717,1,649,140.829,121,9792.722631,98.95818628,1.046412262,1.151129289,10.2189648,728189.8052,4119.729152,1697.255538,228957854.6,15131.35336,21.05359822,725.99375,1,358,80.5852,72,2751.837325,52.45795769,0.94433495,0.931679362,0,316,60.2438,50,2242.827244,47.35849707,1.124358278,1.32393076
DMI-BOLL,36.76164491,***,-0.242778857,3.092310348,0.190928976,0.161710042,0.045820843,0.214058037,1.956515432,11.81526969,-2.900777117,3.068040558,0.104435247,0.097905538,0.080705721,0.284087524,-0.323422086,10.19040737,0,0.909008272,0.376799752,0.403505232,0.016141211,0.127048065,-1.048147769,1.466425249,1,641,123.3587,104,8185.935628,90.47616055,1.304546763,2.168796758,10.6531897,481134.7488,3933.086006,1538.754146,222018274.7,14900.27767,17.62404645,428.658799,1,339,68.7043,60,2110.328494,45.93831184,1.200236556,1.997653663,0,308,54.6544,44,2061.308291,45.40163314,1.350265026,2.190246397
DMI-PSY,32.91598038,***,-0.27149429,2.390279391,0.182727298,0.132886204,0.05043547,0.224578428,1.917225413,7.853165373,-3.039384572,2.441425143,0.096233569,0.079247408,0.085475096,0.292361242,-0.228451665,9.047294849,0,0.769171602,0.325846349,0.341770349,0.008600572,0.09273927,-1.235423469,2.797531785,1,827,165.9862,143,13675.9354,116.9441551,1.134556357,1.568787623,10.753135,780169.2095,4628.098083,1898.811678,291468270.5,17072.44184,20.04915184,641.832988,1,429,90.1625,80,3469.696263,58.90412773,1.045294499,1.3907606,0,398,75.8237,64,3460.440662,58.8255103,1.195034614,1.684412916
BOLL,28.59732522,***,-0.23641673,1.372738513,0.160106267,0.136447038,0.031239016,0.176745626,0.971206148,1.816813679,-2.992652542,1.277696475,0.073612538,0.080127157,0.066260202,0.25741057,-1.299161852,10.14904605,0,0.799982223,0.503078726,0.531938509,0.011750919,0.108401654,-2.208260223,6.695790864,1,2140,353.0663,294,73079.19602,270.3316408,1.422304213,2.804877667,12.8997941,1874041.853,9238.454749,3295.389583,1525113522,39052.70185,23.4026826,824.8498697,1,1112,180.8431,154,17593.91427,132.6420532,1.434019876,3.101350996,0,1028,172.2232,140,19148.29621,138.3773689,1.409732834,2.568655398
